1;19910328;02;03;08;10;27
10;19910429;03;05;16;30;33
9;19910425;03;08;15;16;24
8;19910422;11;17;18;21;25
7;19910418;04;07;09;10;32
6;19910415;16;21;22;31;35
5;19910411;06;13;16;18;33
4;19910408;17;23;24;26;33
3;19910404;14;15;19;34;35
2;19910401;13;18;26;28;33
19;19910530;06;16;30;32;33
18;19910527;01;11;15;27;32
17;19910523;07;15;19;24;29
16;19910520;01;24;26;29;35
15;19910516;01;22;26;33;35
14;19910513;05;13;14;17;22
13;19910509;07;16;17;24;26
12;19910506;05;15;17;21;23
11;19910502;08;13;14;20;30
27;19910627;08;20;22;31;32
26;19910624;02;07;08;25;32
25;19910620;05;14;26;28;32
24;19910617;10;28;29;30;35
23;19910613;04;05;19;22;33
22;19910610;02;09;15;16;32
21;19910606;02;10;14;20;22
20;19910603;01;02;12;17;27
36;19910729;04;05;09;20;29
35;19910725;03;07;16;20;21
34;19910722;03;21;28;30;31
33;19910718;07;14;24;26;31
32;19910715;08;21;22;28;35
31;19910711;02;09;13;33;34
30;19910708;04;06;09;14;15
29;19910704;09;20;25;26;35
28;19910701;13;18;20;21;29
45;19910829;06;08;23;29;32
44;19910826;15;19;22;26;28
43;19910822;14;24;25;27;29
42;19910819;11;12;17;24;28
41;19910815;03;23;25;30;35
40;19910812;05;07;15;22;26
39;19910808;09;14;22;25;32
38;19910805;08;11;14;24;29
37;19910801;06;10;14;18;30
54;19910930;07;16;24;26;29
53;19910926;07;13;17;29;30
52;19910923;14;17;21;26;33
51;19910919;08;09;15;18;29
50;19910916;03;22;24;30;35
49;19910912;03;07;09;32;33
48;19910909;06;14;15;17;34
47;19910905;15;20;27;33;35
46;19910902;01;19;22;27;33
63;19911031;08;23;24;25;30
62;19911028;07;14;16;19;21
61;19911024;01;16;18;22;31
60;19911021;11;13;31;32;33
59;19911017;01;07;11;23;31
58;19911014;25;28;31;33;34
57;19911010;15;16;21;33;34
56;19911007;04;09;20;30;35
55;19911003;05;07;09;24;33
71;19911128;01;04;06;16;25
70;19911125;07;13;22;23;24
69;19911121;06;10;18;20;34
68;19911118;02;08;20;21;32
67;19911114;04;10;11;12;17
66;19911111;05;13;16;24;28
65;19911107;06;07;08;27;35
64;19911104;06;16;25;26;31
89;19920130;01;03;10;11;27
88;19920127;02;08;16;21;24
87;19920123;01;02;08;19;27
86;19920120;10;18;20;31;33
85;19920116;02;06;08;17;33
84;19920113;07;10;17;23;28
83;19920109;02;06;10;15;25
82;19920106;08;11;20;22;26
81;19920102;03;14;20;29;32
97;19920227;06;21;22;29;30
96;19920224;01;04;06;25;32
95;19920220;01;04;12;13;34
94;19920217;03;09;12;15;17
93;19920213;04;17;23;27;30
92;19920210;01;05;06;31;33
91;19920206;02;03;17;19;22
90;19920203;01;05;23;26;33
106;19920330;06;10;25;26;30
105;19920326;14;19;20;23;30
104;19920323;08;14;22;23;25
103;19920319;01;06;22;29;35
102;19920316;02;08;09;15;23
101;19920312;12;15;22;26;34
100;19920309;15;22;26;32;35
99;19920305;21;22;25;31;34
98;19920302;03;10;18;23;32
115;19920430;02;03;06;16;35
114;19920427;07;15;16;19;30
113;19920423;02;07;18;23;35
112;19920420;04;08;10;21;28
111;19920416;01;02;17;18;20
110;19920413;01;02;06;22;35
109;19920409;08;24;25;33;35
108;19920406;11;12;16;26;32
107;19920402;14;15;17;22;27
123;19920528;06;15;17;29;31
122;19920525;01;20;22;24;29
121;19920521;01;04;05;16;26
120;19920518;08;12;25;29;34
119;19920514;11;13;16;19;23
118;19920511;03;08;12;15;16
117;19920507;01;02;09;14;17
116;19920504;07;13;15;25;30
132;19920629;02;04;09;13;25
131;19920625;05;14;23;25;31
130;19920622;03;08;13;22;32
129;19920618;01;02;10;21;31
128;19920615;09;10;15;20;35
127;19920611;10;11;13;22;29
126;19920608;02;10;13;15;21
125;19920604;06;07;11;17;31
124;19920601;10;18;19;23;26
141;19920730;03;15;16;18;32
140;19920727;01;08;12;15;28
139;19920723;07;20;24;27;35
138;19920720;03;13;15;23;27
137;19920716;04;21;27;28;35
136;19920713;03;08;21;22;34
135;19920709;01;03;14;18;23
134;19920706;02;06;09;10;30
133;19920702;10;12;20;25;30
150;19920831;15;23;25;32;33
149;19920827;08;15;20;26;29
148;19920824;03;10;16;23;25
147;19920820;03;15;25;26;33
146;19920817;02;03;16;19;28
145;19920813;09;10;14;16;23
144;19920810;06;14;18;22;30
143;19920806;05;08;11;15;18
142;19920803;05;06;10;17;26
158;19920928;07;08;09;30;32
157;19920924;02;07;10;12;35
156;19920921;18;24;28;34;35
155;19920917;11;13;21;24;28
154;19920914;07;12;19;26;28
153;19920910;07;09;12;13;17
152;19920907;08;29;31;32;35
151;19920903;01;09;11;14;19
167;19921029;07;10;14;18;33
166;19921026;01;05;12;22;23
165;19921022;05;11;22;29;31
164;19921019;01;07;10;16;20
163;19921015;01;03;12;25;35
162;19921012;03;16;19;27;33
161;19921008;21;25;27;33;34
160;19921005;05;06;08;10;18
159;19921001;13;19;23;33;35
176;19921130;01;12;14;18;31
175;19921126;08;17;19;20;31
174;19921123;04;19;24;25;31
173;19921119;03;12;24;28;32
172;19921116;07;18;28;33;35
171;19921112;03;12;27;30;33
170;19921109;07;16;32;33;35
169;19921105;01;02;03;11;29
168;19921102;01;13;22;27;33
193;19930128;09;21;22;26;29
192;19930125;04;13;17;21;31
191;19930121;07;08;22;25;31
190;19930118;04;05;06;17;34
189;19930114;15;20;23;29;34
188;19930111;06;23;27;28;29
187;19930107;14;20;21;28;33
186;19930104;10;16;18;23;32
201;19930225;11;25;26;29;35
200;19930222;05;07;09;11;27
199;19930218;21;22;24;31;35
198;19930215;03;11;17;18;33
197;19930211;01;05;09;19;34
196;19930208;02;23;24;25;34
195;19930204;05;11;17;20;27
194;19930201;01;02;05;19;31
210;19930329;06;10;33;34;35
209;19930325;10;11;23;25;31
208;19930322;14;18;20;33;35
207;19930318;06;09;21;27;32
206;19930315;09;11;17;33;34
205;19930311;13;20;26;32;35
204;19930308;23;26;29;32;34
203;19930304;06;09;11;25;34
202;19930301;07;09;12;16;30
219;19930429;07;11;16;28;31
218;19930426;02;05;10;20;26
217;19930422;01;12;15;22;23
216;19930419;04;12;17;18;21
215;19930415;04;12;25;27;28
214;19930412;02;03;06;07;35
213;19930408;17;20;24;25;33
212;19930405;10;11;12;13;16
211;19930401;02;09;24;25;27
228;19930531;05;23;24;25;29
227;19930527;02;20;25;27;35
226;19930524;01;16;21;24;32
225;19930520;01;04;12;14;15
224;19930517;01;08;11;27;31
223;19930513;01;12;15;26;28
222;19930510;10;22;23;24;32
221;19930506;03;11;12;23;24
220;19930503;07;08;11;22;28
236;19930628;07;11;15;25;33
235;19930624;06;12;18;33;34
234;19930621;07;22;23;24;29
233;19930617;03;23;29;32;33
232;19930614;03;04;07;24;33
